epoch,train_box_loss,train_cls_loss,train_dfl_loss,metrics_precision,metrics_recall,metrics_mAP50,metrics_mAP50_95,val_box_loss,val_cls_loss,val_dfl_loss,lr_pg0,lr_pg1,lr_pg2
111,1.0835,0.88369,1.1628,0.82102,0.69738,0.79845,0.56862,0.95748,0.69877,1.0617,0.00637,0.00637,0.00637
112,1.0827,0.88453,1.1624,0.82211,0.69633,0.798,0.56825,0.95661,0.69934,1.0617,0.006337,0.006337,0.006337
113,1.0842,0.88359,1.1628,0.81921,0.69866,0.79821,0.56859,0.95598,0.69873,1.0613,0.006304,0.006304,0.006304
114,1.0845,0.88542,1.1631,0.82051,0.69793,0.79823,0.5686,0.95523,0.69852,1.0608,0.006271,0.006271,0.006271
115,1.0827,0.88288,1.1636,0.8198,0.69953,0.79856,0.56867,0.95544,0.69797,1.0609,0.006238,0.006238,0.006238
116,1.0817,0.88376,1.1607,0.82027,0.69844,0.79873,0.56892,0.95558,0.69676,1.0612,0.006205,0.006205,0.006205
117,1.079,0.88095,1.1618,0.81925,0.69866,0.79931,0.56871,0.95541,0.6964,1.0615,0.006172,0.006172,0.006172
118,1.0788,0.8799,1.1606,0.82038,0.69947,0.79928,0.56893,0.95567,0.69603,1.0616,0.006139,0.006139,0.006139
119,1.0802,0.87954,1.1621,0.82237,0.69802,0.79963,0.56917,0.95546,0.6942,1.0614,0.006106,0.006106,0.006106
120,1.0804,0.87836,1.1609,0.82124,0.69847,0.79993,0.56924,0.95491,0.6946,1.0608,0.006073,0.006073,0.006073
121,1.0812,0.88112,1.1619,0.82348,0.69684,0.79989,0.56974,0.95389,0.69363,1.0602,0.00604,0.00604,0.00604
122,1.0774,0.87899,1.1613,0.82246,0.69673,0.80028,0.56999,0.95307,0.69329,1.0593,0.006007,0.006007,0.006007
123,1.0765,0.87913,1.1588,0.82204,0.69675,0.80038,0.57043,0.95271,0.69314,1.0588,0.005974,0.005974,0.005974
124,1.0766,0.87556,1.158,0.82098,0.69765,0.80031,0.57047,0.95295,0.6936,1.0588,0.005941,0.005941,0.005941
125,1.0747,0.87635,1.1589,0.82019,0.69956,0.80031,0.57125,0.95229,0.69321,1.0582,0.005908,0.005908,0.005908
126,1.0763,0.87813,1.1585,0.81959,0.70002,0.8,0.57084,0.95119,0.69306,1.0578,0.005875,0.005875,0.005875
127,1.0757,0.87387,1.1581,0.82181,0.69775,0.80042,0.57108,0.94975,0.69254,1.057,0.005842,0.005842,0.005842
128,1.0754,0.87152,1.1568,0.819,0.70029,0.80066,0.57146,0.94944,0.69237,1.0567,0.005809,0.005809,0.005809
129,1.0747,0.87528,1.157,0.82325,0.69775,0.80007,0.57118,0.9495,0.6919,1.0568,0.005776,0.005776,0.005776
130,1.0731,0.87249,1.158,0.81964,0.69837,0.79986,0.57129,0.94953,0.69198,1.0569,0.005743,0.005743,0.005743
131,1.072,0.87026,1.1542,0.8224,0.69666,0.80032,0.57176,0.94886,0.6919,1.0568,0.00571,0.00571,0.00571
132,1.0726,0.87092,1.1568,0.81925,0.70105,0.80096,0.57198,0.94902,0.69213,1.0568,0.005677,0.005677,0.005677
133,1.0695,0.87047,1.1555,0.81979,0.70102,0.80097,0.57228,0.94984,0.69174,1.057,0.005644,0.005644,0.005644
134,1.0687,0.86946,1.1547,0.82074,0.70002,0.80055,0.57199,0.95003,0.69095,1.0568,0.005611,0.005611,0.005611
135,1.0728,0.86983,1.1548,0.82195,0.69947,0.80103,0.57197,0.94954,0.69052,1.0564,0.005578,0.005578,0.005578
136,1.0718,0.86657,1.1548,0.82122,0.69984,0.80107,0.57225,0.94978,0.69004,1.0563,0.005545,0.005545,0.005545
137,1.0677,0.86781,1.1548,0.82119,0.69988,0.80175,0.57238,0.9498,0.68986,1.0562,0.005512,0.005512,0.005512
138,1.0709,0.86912,1.1557,0.81912,0.70329,0.80185,0.57304,0.9485,0.68989,1.0557,0.005479,0.005479,0.005479
139,1.0676,0.86769,1.1526,0.82258,0.70002,0.80195,0.57333,0.94783,0.68905,1.0553,0.005446,0.005446,0.005446
140,1.0685,0.86611,1.1527,0.81799,0.70371,0.80204,0.57331,0.94747,0.68933,1.0545,0.005413,0.005413,0.005413
141,1.067,0.8663,1.1535,0.81846,0.70265,0.80273,0.5737,0.94835,0.68995,1.0541,0.00538,0.00538,0.00538
142,1.0686,0.86471,1.1522,0.8201,0.70178,0.80279,0.57404,0.94878,0.68962,1.0539,0.005347,0.005347,0.005347
143,1.0666,0.86701,1.154,0.82472,0.69953,0.80311,0.57389,0.94819,0.68941,1.0536,0.005314,0.005314,0.005314
