epoch,train_box_loss,train_cls_loss,train_dfl_loss,metrics_precision,metrics_recall,metrics_mAP50,metrics_mAP50_95,val_box_loss,val_cls_loss,val_dfl_loss,lr_pg0,lr_pg1,lr_pg2
66,1.2066,1.032,1.2317,0.78971,0.65213,0.74859,0.51287,1.0657,0.81,1.123,0.00857,0.00857,0.00857
67,1.207,1.0307,1.2303,0.78746,0.65304,0.74932,0.51269,1.0653,0.81039,1.1228,0.008548,0.008548,0.008548
68,1.2037,1.0313,1.2312,0.78877,0.65221,0.74911,0.51256,1.0643,0.81022,1.1224,0.008526,0.008526,0.008526
69,1.2025,1.0299,1.2302,0.79055,0.65058,0.74861,0.5124,1.0642,0.81013,1.1222,0.008504,0.008504,0.008504
70,1.2037,1.027,1.229,0.79153,0.64904,0.74894,0.51268,1.0639,0.80932,1.122,0.008482,0.008482,0.008482
71,1.2048,1.026,1.229,0.79058,0.65085,0.74905,0.5128,1.0641,0.80973,1.1217,0.00846,0.00846,0.00846
72,1.204,1.0273,1.2291,0.78874,0.65049,0.74891,0.51262,1.0639,0.80973,1.121,0.008438,0.008438,0.008438
73,1.2029,1.0274,1.2298,0.78937,0.65051,0.74916,0.51264,1.0637,0.80875,1.121,0.008416,0.008416,0.008416
74,1.2014,1.0257,1.228,0.78962,0.65167,0.74964,0.51268,1.0634,0.80773,1.1207,0.008394,0.008394,0.008394
75,1.2014,1.0248,1.2269,0.79203,0.64995,0.74939,0.51299,1.0616,0.80718,1.1198,0.008372,0.008372,0.008372
76,1.2025,1.0209,1.2273,0.79321,0.64885,0.7493,0.51323,1.0598,0.80655,1.1189,0.00835,0.00835,0.00835
77,1.2003,1.021,1.226,0.79575,0.6484,0.74972,0.51371,1.0585,0.8056,1.1178,0.008328,0.008328,0.008328
78,1.2032,1.0259,1.2291,0.79734,0.64631,0.74967,0.51423,1.0587,0.80507,1.1176,0.008306,0.008306,0.008306
79,1.2015,1.0222,1.2271,0.79413,0.64949,0.75046,0.51448,1.0579,0.8047,1.1173,0.008284,0.008284,0.008284
80,1.2002,1.0224,1.2275,0.79643,0.64956,0.75066,0.51474,1.0573,0.80408,1.117,0.008262,0.008262,0.008262
81,1.2,1.0233,1.2271,0.79806,0.64922,0.75092,0.51501,1.0565,0.80464,1.1167,0.00824,0.00824,0.00824
82,1.1985,1.0225,1.2269,0.79626,0.65102,0.75125,0.51512,1.0567,0.80427,1.1169,0.008218,0.008218,0.008218
83,1.1982,1.0207,1.2262,0.79501,0.65343,0.75161,0.51517,1.0565,0.80318,1.1167,0.008196,0.008196,0.008196
84,1.2022,1.0254,1.228,0.79623,0.65313,0.75142,0.51549,1.0567,0.80348,1.1167,0.008174,0.008174,0.008174
85,1.1966,1.018,1.2258,0.79851,0.65078,0.75184,0.51566,1.0557,0.80396,1.116,0.008152,0.008152,0.008152
86,1.1984,1.018,1.2246,0.7967,0.65173,0.75153,0.51563,1.0563,0.80372,1.1163,0.00813,0.00813,0.00813
87,1.1987,1.0223,1.2263,0.79722,0.65132,0.7513,0.51581,1.056,0.80415,1.1159,0.008108,0.008108,0.008108
88,1.1969,1.0197,1.2247,0.79811,0.65059,0.75109,0.51576,1.0566,0.80405,1.116,0.008086,0.008086,0.008086
