epoch,train_box_loss,train_cls_loss,train_dfl_loss,metrics_precision,metrics_recall,metrics_mAP50,metrics_mAP50_95,val_box_loss,val_cls_loss,val_dfl_loss,lr_pg0,lr_pg1,lr_pg2
75,1.2479,1.0858,1.2483,0.78526,0.62442,0.7243,0.48711,1.1156,0.87166,1.1378,0.005116,0.005116,0.005116
76,1.2465,1.0835,1.2466,0.78593,0.62348,0.72419,0.48719,1.1154,0.87098,1.1377,0.00505,0.00505,0.00505
77,1.2469,1.0816,1.2463,0.78163,0.62464,0.72432,0.4876,1.1156,0.86996,1.1377,0.004984,0.004984,0.004984
78,1.2425,1.0795,1.2445,0.78054,0.62701,0.72508,0.48825,1.115,0.869,1.1367,0.004918,0.004918,0.004918
79,1.2441,1.0808,1.2449,0.7838,0.62656,0.72598,0.48896,1.114,0.86813,1.1363,0.004852,0.004852,0.004852
80,1.2413,1.0785,1.2442,0.78386,0.62547,0.72614,0.48914,1.1127,0.86745,1.1352,0.004786,0.004786,0.004786
81,1.2389,1.0752,1.2418,0.78423,0.6272,0.72627,0.48925,1.112,0.86648,1.135,0.00472,0.00472,0.00472
82,1.2402,1.0755,1.2428,0.78608,0.62514,0.72653,0.48962,1.1113,0.86528,1.1346,0.004654,0.004654,0.004654
83,1.2373,1.0732,1.2406,0.78494,0.62614,0.72716,0.48999,1.1104,0.86476,1.1337,0.004588,0.004588,0.004588
84,1.2363,1.0707,1.2407,0.78618,0.62686,0.72778,0.49047,1.1094,0.86362,1.133,0.004522,0.004522,0.004522
85,1.2361,1.0693,1.2398,0.78734,0.62559,0.7279,0.49068,1.1084,0.8635,1.1324,0.004456,0.004456,0.004456
86,1.2347,1.0678,1.2384,0.78842,0.62565,0.72838,0.49148,1.1069,0.86208,1.1313,0.00439,0.00439,0.00439
87,1.233,1.0643,1.2377,0.78895,0.62538,0.72901,0.49205,1.1062,0.86032,1.1306,0.004324,0.004324,0.004324
88,1.2318,1.0652,1.2373,0.78551,0.62756,0.72901,0.49251,1.1054,0.8597,1.1301,0.004258,0.004258,0.004258
89,1.2297,1.0604,1.2351,0.78816,0.62573,0.72904,0.49311,1.1034,0.85842,1.1289,0.004192,0.004192,0.004192
90,1.2293,1.0619,1.2353,0.79048,0.62517,0.72999,0.49325,1.1033,0.85706,1.129,0.004126,0.004126,0.004126
91,1.2266,1.058,1.2328,0.7903,0.62745,0.73019,0.49289,1.1029,0.85705,1.1281,0.00406,0.00406,0.00406
92,1.2249,1.0579,1.2329,0.789,0.62783,0.73015,0.49351,1.1027,0.85694,1.128,0.003994,0.003994,0.003994
93,1.2245,1.0546,1.2319,0.78895,0.62865,0.73064,0.49399,1.1018,0.85541,1.1273,0.003928,0.003928,0.003928
94,1.2231,1.0531,1.2319,0.78898,0.63028,0.73083,0.49444,1.1013,0.85489,1.1268,0.003862,0.003862,0.003862
95,1.2213,1.0527,1.2299,0.79004,0.62835,0.73094,0.49498,1.1006,0.85418,1.1264,0.003796,0.003796,0.003796
96,1.2204,1.0488,1.2288,0.79202,0.6278,0.73124,0.49537,1.0999,0.85297,1.1258,0.00373,0.00373,0.00373
97,1.2181,1.0486,1.2288,0.78723,0.63143,0.73259,0.49603,1.0994,0.85156,1.1256,0.003664,0.003664,0.003664
98,1.2163,1.0459,1.2274,0.78906,0.63065,0.73278,0.49651,1.0982,0.85087,1.1245,0.003598,0.003598,0.003598
99,1.2136,1.0432,1.2251,0.79237,0.62868,0.73328,0.49657,1.0976,0.85002,1.1239,0.003532,0.003532,0.003532
100,1.2134,1.0403,1.2248,0.79102,0.62998,0.73355,0.49705,1.098,0.84835,1.124,0.003466,0.003466,0.003466
101,1.2118,1.0376,1.2231,0.79244,0.63153,0.73417,0.49784,1.097,0.84656,1.1232,0.0034,0.0034,0.0034
102,1.2112,1.0377,1.2231,0.79333,0.63074,0.73435,0.49788,1.0969,0.8463,1.1229,0.003334,0.003334,0.003334
103,1.2078,1.0348,1.2214,0.79602,0.62974,0.73491,0.4984,1.0968,0.84495,1.1225,0.003268,0.003268,0.003268
104,1.2084,1.0346,1.2219,0.79517,0.62983,0.73496,0.49875,1.0961,0.84482,1.1221,0.003202,0.003202,0.003202
105,1.2061,1.0318,1.2201,0.7965,0.62947,0.73489,0.49882,1.0952,0.84456,1.1212,0.003136,0.003136,0.003136
106,1.2044,1.0294,1.2191,0.79645,0.62983,0.73588,0.49925,1.0944,0.84392,1.1208,0.00307,0.00307,0.00307
107,1.2019,1.0255,1.2166,0.79458,0.63123,0.73625,0.49957,1.0942,0.84276,1.1205,0.003004,0.003004,0.003004
108,1.1998,1.0257,1.2153,0.79517,0.6321,0.73686,0.49996,1.0936,0.84183,1.1197,0.002938,0.002938,0.002938
109,1.1993,1.0242,1.2147,0.79241,0.63444,0.73706,0.50025,1.0923,0.84058,1.119,0.002872,0.002872,0.002872
110,1.1977,1.0193,1.2144,0.79344,0.63485,0.73768,0.50097,1.0916,0.83976,1.1185,0.002806,0.002806,0.002806
111,1.1948,1.0179,1.2124,0.79267,0.6364,0.73832,0.50143,1.0899,0.83827,1.1175,0.00274,0.00274,0.00274
112,1.1938,1.0175,1.2115,0.79,0.63747,0.73832,0.50165,1.0889,0.83771,1.1168,0.002674,0.002674,0.002674
113,1.1927,1.0147,1.2108,0.79371,0.63562,0.73874,0.50208,1.0885,0.83694,1.1165,0.002608,0.002608,0.002608
114,1.1908,1.0109,1.2096,0.79161,0.63853,0.73901,0.50282,1.0874,0.83606,1.1158,0.002542,0.002542,0.002542
115,1.1869,1.011,1.2077,0.7926,0.63764,0.73889,0.50277,1.0869,0.8347,1.1153,0.002476,0.002476,0.002476
116,1.1851,1.007,1.2064,0.79279,0.63792,0.73932,0.50331,1.0862,0.83385,1.1144,0.00241,0.00241,0.00241
117,1.1834,1.0042,1.2051,0.79573,0.63566,0.73953,0.50357,1.0852,0.83353,1.1136,0.002344,0.002344,0.002344
118,1.181,1.0017,1.2044,0.79621,0.63692,0.74059,0.50408,1.0845,0.83246,1.113,0.002278,0.002278,0.002278
119,1.1787,0.99901,1.2022,0.7965,0.63714,0.74092,0.5046,1.0831,0.83142,1.1118,0.002212,0.002212,0.002212
120,1.178,0.99745,1.2008,0.79407,0.63913,0.74146,0.50525,1.0817,0.83065,1.1107,0.002146,0.002146,0.002146
121,1.1755,0.99443,1.1998,0.79427,0.63825,0.74231,0.50572,1.0805,0.82954,1.1097,0.00208,0.00208,0.00208
122,1.174,0.99163,1.1998,0.79288,0.64033,0.74291,0.50653,1.0799,0.82876,1.109,0.002014,0.002014,0.002014
123,1.172,0.9886,1.1971,0.79142,0.64183,0.74307,0.50677,1.079,0.82722,1.1082,0.001948,0.001948,0.001948
124,1.1691,0.98465,1.1952,0.79014,0.64268,0.74336,0.50732,1.0783,0.82645,1.1074,0.001882,0.001882,0.001882
125,1.1667,0.98276,1.1942,0.79123,0.6435,0.74353,0.50759,1.0777,0.82592,1.1066,0.001816,0.001816,0.001816
126,1.1645,0.9796,1.192,0.79066,0.64486,0.74398,0.50823,1.0769,0.82472,1.1055,0.00175,0.00175,0.00175
127,1.1609,0.97418,1.191,0.78872,0.64648,0.74443,0.50839,1.0763,0.8237,1.1048,0.001684,0.001684,0.001684
128,1.159,0.97309,1.1893,0.79152,0.64486,0.74538,0.50918,1.0753,0.82315,1.1039,0.001618,0.001618,0.001618
129,1.155,0.96924,1.1887,0.79408,0.64304,0.74531,0.50942,1.0743,0.82217,1.1034,0.001552,0.001552,0.001552
130,1.1529,0.96376,1.1861,0.79259,0.64416,0.74523,0.51016,1.0736,0.82108,1.1025,0.001486,0.001486,0.001486
131,1.1507,0.96228,1.1845,0.79352,0.64516,0.74574,0.51048,1.0723,0.82096,1.1012,0.00142,0.00142,0.00142
132,1.1473,0.95967,1.1825,0.79865,0.64237,0.74622,0.51088,1.0707,0.82032,1.0999,0.001354,0.001354,0.001354
133,1.1461,0.95573,1.1816,0.79494,0.64643,0.74673,0.51157,1.0699,0.81867,1.0994,0.001288,0.001288,0.001288
134,1.1411,0.95037,1.1798,0.79339,0.64873,0.74757,0.51228,1.0688,0.81775,1.0987,0.001222,0.001222,0.001222
135,1.1404,0.94711,1.1779,0.79582,0.64876,0.7482,0.51278,1.0684,0.81618,1.0978,0.001156,0.001156,0.001156
136,1.1356,0.94222,1.1751,0.79638,0.64949,0.74884,0.51369,1.067,0.81463,1.0971,0.00109,0.00109,0.00109
137,1.1312,0.93739,1.1726,0.79502,0.65043,0.74942,0.51429,1.066,0.81308,1.0962,0.001024,0.001024,0.001024
138,1.1303,0.93489,1.1719,0.7951,0.6511,0.74994,0.51483,1.0645,0.8116,1.0951,0.000958,0.000958,0.000958
139,1.1257,0.93132,1.169,0.79454,0.65271,0.7508,0.51537,1.0639,0.81017,1.0943,0.000892,0.000892,0.000892
140,1.112,0.87656,1.1469,0.79444,0.65467,0.75159,0.51615,1.0621,0.80829,1.0932,0.000826,0.000826,0.000826
141,1.1051,0.86601,1.1422,0.79704,0.65381,0.75213,0.51731,1.0608,0.80632,1.0927,0.00076,0.00076,0.00076
142,1.0979,0.85637,1.1382,0.79837,0.65304,0.75259,0.51769,1.0598,0.80461,1.0922,0.000694,0.000694,0.000694
143,1.0913,0.84964,1.1335,0.79759,0.65447,0.7527,0.51786,1.0588,0.80416,1.0913,0.000628,0.000628,0.000628
144,1.0844,0.84152,1.1299,0.79699,0.65555,0.7532,0.5186,1.0575,0.80232,1.0902,0.000562,0.000562,0.000562
145,1.0782,0.83092,1.1256,0.7982,0.65543,0.75376,0.51895,1.0573,0.80125,1.0897,0.000496,0.000496,0.000496
146,1.0716,0.82373,1.1212,0.79883,0.65646,0.75424,0.51984,1.056,0.79979,1.0883,0.00043,0.00043,0.00043
147,1.0652,0.81514,1.1183,0.79869,0.65595,0.75466,0.52052,1.0545,0.79876,1.0871,0.000364,0.000364,0.000364
148,1.0591,0.80593,1.1141,0.79999,0.65552,0.7553,0.52102,1.053,0.7976,1.0861,0.000298,0.000298,0.000298
149,1.051,0.79817,1.1091,0.79889,0.65631,0.75588,0.52169,1.0516,0.79637,1.0849,0.000232,0.000232,0.000232
